Ano;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1964;101.9;99;131.8;49.3;20.1;0.5;1.1;1.7;16.1;18.9;25.2;59.3
1965;64.7;117.9;75.1;27.9;5.1;0.8;5.9;7.2;53.6;36.3;19.8;62.3
1966;106.7;75.9;86.8;66.1;7.9;1.5;2;1.6;9.7;48.6;18.2;73.6
1967;94;163.5;138.2;30.5;20.4;2.3;5;7.4;9.7;37.4;17.6;40.1
1968;42.7;59.5;48.9;14.1;12.8;4.5;2.1;9.8;9.2;25.6;32.2;29.4
1969;25.9;74.9;71.8;39.2;3;2;4;3.7;13.9;33.5;35.8;98.2
1970;128.5;58;57.9;47.4;14.7;0.6;3;3.2;43.7;40.5;20.8;78.1
1971;70.9;115.6;132.7;33.2;7.7;0.5;1.3;5.7;5.2;22.7;26.5;89.5
1972;105.6;114.8;180.5;48.4;4.7;0.3;6.9;2;23.8;42;22.8;65.6
1973;135.2;129.4;145.4;64.9;21.9;3.2;6.9;9.4;27.4;50.6;30.6;88.6
1974;99.3;105.5;120.4;38.3;3.8;3.4;1.1;7.9;14.7;17.2;26.5;33.3
1975;75.8;83.8;146.1;39.1;20.4;3.8;0.4;5.4;19.2;21.3;26.9;64.2
1976;92.2;92.5;88.2;20.7;12.7;7.5;1.9;7.9;10.7;7.7;12.7;44.6
1977;54.2;117.3;95.1;37.5;17.5;1.6;1.3;3.8;17.5;17;90.2;50.7
1978;72.1;120.5;63.7;19.2;2.3;6.2;7.6;3.3;21;21.1;30.8;36.2
1979;42.6;98.9;111.9;24.6;4.1;2.7;8.6;8.3;12;15.6;18.3;37.1
1980;75.9;45.2;75.6;22.2;6.4;5.1;7.9;4.7;7.5;59.1;48.1;45.6
1981;82.6;148.9;117.6;24.8;1.3;2.1;2.2;10.6;14.8;31.3;55.6;81.7
1982;95.4;138.4;58.4;46.1;1.9;1.7;5;13.3;16.6;42.3;57;46.6
1983;48.5;56.5;138.5;70.3;3.9;3.6;0.9;1.2;21.4;25.1;29.3;104.5
1984;111.3;182.3;128.3;32.7;12.1;13;1;4.4;9.4;48.9;62.8;107.1
1985;51;79.6;106.8;51;12.8;6.9;1.7;3.6;19.8;9.4;21.1;65.7
1986;113.9;102.3;98.6;55.6;9.1;1.2;12.3;9.2;12.8;6.9;20.8;67.6
1987;101.1;71.5;49.9;18.2;4.7;1.4;2.6;10.1;26;18.9;35;53.7
1988;112.3;84.5;83.3;66.7;10.8;2.2;1.6;2.8;17.2;27.3;16.9;50.1
1989;126.4;136.3;147.9;28.9;5.1;3.8;3.8;8.7;13.1;37.1;9.8;9.1
1990;66.2;23.3;36.3;16.3;16.5;13.9;1.2;6.7;6.5;40.9;54.1;59.5
1991;32.6;52.6;109;21;7.7;2.8;3.8;3.7;8;23.7;25.7;25.7
1992;20.2;28.9;44.6;16.7;3.7;1.6;3;7.2;4.5;38.9;12.3;26.5
1993;84.2;99.4;104.3;41.4;6.4;0.8;2.6;6.4;14.6;41.2;59.6;92
1994;109.1;114.1;89.2;61.5;18.9;4.3;1.7;7.3;29.2;30.8;33.9;83.5
1995;74;55.2;84.4;46.2;11.5;4;2.1;2.4;19.8;34.1;39.4;75.5
1996;91.5;99.2;90.2;32.8;11.2;2.3;0.9;3.8;12.8;18.4;17.2;47.2
1997;66.3;91.6;31.3;14.8;6.9;0.9;1.8;13.2;25;22.7;41.1;106
1998;115.6;111.9;122.5;25.8;0.3;2.1;0.4;5.6;17.6;39.3;18.8;39.8
1999;85.5;209.8;96.5;61.6;19.8;8.5;1.9;4.5;17.1;43.2;40.2;82
2000;135.2;126.8;130.7;25.5;18.2;0.5;4;13.2;11;38.3;25.3;131
2001;154;99.3;164.9;43.2;8.5;0.6;4.9;2.4;25.7;25.5;65.2;32.6
2002;54.6;82.1;101.2;52.5;14.8;3.1;2.8;3.3;20.1;47.2;56.1;65.3
2003;93;86.5;135.3;37.4;4.5;1.3;3.1;2.2;8.4;24;9;102.9
2004;25.9;92;76.2;43.4;8.5;7.1;2;4.2;15.2;47.6;48.9;105.2
2005;88.8;54.5;84.6;17.6;4.5;0.4;0.7;4.3;6.1;12.1;11.6;78.3
2006;120;101.2;144.5;77.8;4.1;4.9;0.8;6.7;12.4;27.4;47;94.4
2007;96.2;90.5;155.9;55.5;12.1;0.8;1.2;1.5;9;35.8;24.3;44.2
2008;112.5;121.6;96.2;31.1;1;0.5;1;4.3;7.9;23.3;23.7;63
2009;125.3;135.1;131.5;64.5;7.7;0.7;3.4;3.3;9.5;50.8;84.1;85.5
